x rho u p ie
0.12875 1.0 0.0 1.0 2.5000000000000004
0.13125 1.0 0.0 1.0 2.5000000000000004
0.13375 1.0 0.0 1.0 2.5000000000000004
0.13625 1.0 0.0 1.0 2.5000000000000004
0.13875 1.0 0.0 1.0 2.5000000000000004
0.14125000000000001 1.0 0.0 1.0 2.5000000000000004
0.14375 1.0 0.0 1.0 2.5000000000000004
0.14625 1.0 0.0 1.0 2.5000000000000004
0.14875 1.0 0.0 1.0 2.5000000000000004
0.15125 1.0 0.0 1.0 2.5000000000000004
0.15375 1.0 0.0 1.0 2.5000000000000004
0.15625 1.0 0.0 1.0 2.5000000000000004
0.15875 1.0 0.0 1.0 2.5000000000000004
0.16125 1.0 0.0 1.0 2.5000000000000004
0.16375 1.0 0.0 1.0 2.5000000000000004
0.16625 1.0 0.0 1.0 2.5000000000000004
0.16875 1.0 0.0 1.0 2.5000000000000004
0.17125 1.0 0.0 1.0 2.5000000000000004
0.17375000000000002 1.0 0.0 1.0 2.5000000000000004
0.17625000000000002 1.0 0.0 1.0 2.5000000000000004
0.17875 1.0 0.0 1.0 2.5000000000000004
0.18125 1.0 0.0 1.0 2.5000000000000004
0.18375 1.0 0.0 1.0 2.5000000000000004
0.18625 1.0 0.0 1.0 2.5000000000000004
0.18875 1.0 0.0 1.0 2.5000000000000004
0.19125 1.0 0.0 1.0 2.5000000000000004
0.19375 1.0 0.0 1.0 2.5000000000000004
0.19625 1.0 0.0 1.0 2.5000000000000004
0.19875 1.0 0.0 1.0 2.5000000000000004
0.20125 1.0 0.0 1.0 2.5000000000000004
0.20375000000000001 1.0 0.0 1.0 2.5000000000000004
0.20625000000000002 1.0 0.0 1.0 2.5000000000000004
0.20875 1.0 0.0 1.0 2.5000000000000004
0.21125 1.0 0.0 1.0 2.5000000000000004
0.21375 1.0 0.0 1.0 2.5000000000000004
0.21625 1.0 0.0 1.0 2.5000000000000004
0.21875 1.0 0.0 1.0 2.5000000000000004
0.22125 1.0 0.0 1.0 2.5000000000000004
0.22375 1.0 0.0 1.0 2.5000000000000004
0.22625 1.0 0.0 1.0 2.5000000000000004
0.22875 1.0 0.0 1.0 2.5000000000000004
0.23125 1.0 0.0 1.0 2.5000000000000004
0.23375 1.0 0.0 1.0 2.5000000000000004
0.23625000000000002 1.0 0.0 1.0 2.5000000000000004
0.23875000000000002 1.0 0.0 1.0 2.5000000000000004
0.24125 1.0 0.0 1.0 2.5000000000000004
0.24375 1.0 0.0 1.0 2.5000000000000004
0.24625 1.0 0.0 1.0 2.5000000000000004
0.24875 1.0 0.0 1.0 2.5000000000000004
0.25125 1.0 0.0 1.0 2.5000000000000004
0.25375000000000003 1.0 0.0 1.0 2.5000000000000004
0.25625 1.0 0.0 1.0 2.5000000000000004
0.25875000000000004 1.0 0.0 1.0 2.5000000000000004
0.26125 1.0 0.0 1.0 2.5000000000000004
0.26375000000000004 1.0 0.0 1.0 2.5000000000000004
0.26625 1.0 0.0 1.0 2.5000000000000004
0.26875000000000004 1.0 0.0 1.0 2.5000000000000004
0.27125 1.0 0.0 1.0 2.5000000000000004
0.27375000000000005 1.0 0.0 1.0 2.5000000000000004
0.27625 1.0 0.0 1.0 2.5000000000000004
0.27875000000000005 1.0 0.0 1.0 2.5000000000000004
0.28125 1.0 0.0 1.0 2.5000000000000004
0.28375000000000006 1.0 0.0 1.0 2.5000000000000004
0.28625 1.0 0.0 1.0 2.5000000000000004
0.28875 1.0 0.0 1.0 2.5000000000000004
0.29125 1.0 0.0 1.0 2.5000000000000004
0.29374999999999996 1.0 0.0 1.0 2.5000000000000004
0.29625 1.0 0.0 1.0 2.5000000000000004
0.29874999999999996 1.0 0.0 1.0 2.5000000000000004
0.30125 1.0 0.0 1.0 2.5000000000000004
0.30374999999999996 1.0 0.0 1.0 2.5000000000000004
0.30625 1.0 0.0 1.0 2.5000000000000004
0.30874999999999997 1.0 0.0 1.0 2.5000000000000004
0.31125 1.0 0.0 1.0 2.5000000000000004
0.31375 1.0 0.0 1.0 2.5000000000000004
0.31625000000000003 1.0 0.0 1.0 2.5000000000000004
0.31875 1.0 0.0 1.0 2.5000000000000004
0.32125000000000004 1.0 0.0 1.0 2.5000000000000004
0.32375 0.9942269188401109 0.0068466305166024295 0.9919270291464586 2.4942168893990138
0.32625000000000004 0.9825977039541184 0.02073551940549164 0.9757218779091933 2.4825059991050877
0.32875 0.9710775636635202 0.03462440829438029 0.9597441819481992 2.470822666130386
0.33125000000000004 0.9596657288753552 0.04851329718326951 0.9439912745494969 2.4591668904749078
0.33375 0.9483614341204812 0.06240218607215816 0.928460514069901 2.4475386721386547
0.33625000000000005 0.9371639175450073 0.07629107496104737 0.9131492837598137 2.4359380111216242
0.33875 0.9260724209017474 0.09017996384993585 0.8980549915868864 2.4243649074238185
0.34125000000000005 0.9150861895416532 0.10406885273882505 0.8831750700604847 2.4128193610452366
0.34375 0.9042044724052635 0.1179577416277137 0.8685069760570108 2.4013013719858796
0.34625000000000006 0.8934265220141416 0.13184663051660292 0.8540481906460405 2.389810940245745
0.34875 0.882751594462322 0.14573551940549156 0.8397962189173009 2.3783480658248353
0.35125 0.8721789494077505 0.1596244082943804 0.8257485898084669 2.3669127487231494
0.35375 0.8617078500637257 0.17351329718326935 0.8119028559337839 2.355504988940688
0.35624999999999996 0.8513375631903453 0.18740218607215792 0.7982565934135201 2.3441247864774497
0.35875 0.8410673590859432 0.20129107496104712 0.7848074017042292 2.332772141333436
0.36124999999999996 0.8308965115785379 0.21517996384993576 0.7715529034298437 2.3214470535086464
0.36375 0.8208242980172695 0.229068852738825 0.7584907442135731 2.31014952300308
0.36624999999999996 0.810849999263846 0.24295774162771355 0.745618592510629 2.2988795498167383
0.36875 0.8009728996839843 0.2568466305166028 0.7329341394417543 2.28763713394962
0.37124999999999997 0.7911922871388527 0.27073551940549134 0.720435098627569 2.276422275401726
0.37375 0.7815074529765126 0.2846244082943805 0.7081192060237204 2.265234974173056
0.37625 0.7719176920233631 0.2985132971832692 0.6959842197568467 2.2540752302636107
0.37875000000000003 0.7624223025755809 0.3124021860721584 0.6840279199613383 2.242943043673388
0.38125 0.7530205863905647 0.326291074961047 0.6722481086169102 2.23183841440239
0.38375000000000004 0.7437118486783773 0.34017996384993615 0.6606426093869687 2.220761342450616
0.38625 0.7344953980931874 0.3540688527388247 0.649209267457782 2.209711827818066
0.38875000000000004 0.7253705467247119 0.36795774162771394 0.6379459493784434 2.1986898705047393
0.39125 0.71633661008966 0.3818466305166026 0.6268505429016374 2.1876954705106377
0.39375000000000004 0.7073929071231732 0.3957355194054918 0.6159209568251893 2.1767286278357596
0.39625 0.6985387601702702 0.40962440829438035 0.6051551208344148 2.1657893424801054
0.39875000000000005 0.6897734949772878 0.4235132971832696 0.5945509853452535 2.154877614443675
0.40125 0.6810964406833246 0.43740218607215814 0.5841065213481927 2.1439934437264694
0.40375000000000005 0.6725069298116813 0.45129107496104737 0.5738197202529727 2.1331368303284868
0.40625 0.664004298261306 0.465179963849936 0.5636885937340821 2.122307774249729
0.40875000000000006 0.6555878852982339 0.4790688527388252 0.5537111735770265 2.1115062754901945
0.41125 0.6472570335470321 0.4929577416277138 0.5438855115253842 2.100732334049884
0.41375000000000006 0.639011088982241 0.506846630516603 0.5342096791286337 2.089985949928798
0.41625 0.6308494009198169 0.5207355194054916 0.5246817675907594 2.079267123126936
0.41874999999999996 0.6227713220085738 0.5346244082943802 0.5152998876196293 2.0685758536442984
0.42125 0.6147762082216264 0.5485132971832695 0.5060621692771458 2.057912141480884
0.42374999999999996 0.6068634188478339 0.562402186072158 0.4969667618301663 2.0472759866366936
0.42625 0.5990323164832392 0.5762910749610471 0.48801183360218714 2.0366673891117264
0.42874999999999996 0.591282267022516 0.5901799638499358 0.47919557182580097 2.0260863489059844
0.43125 0.583612639650406 0.6040688527388249 0.4705161824959074 2.0155328660194662
0.43374999999999997 0.5760228068331661 0.6179577416277137 0.4619718902236954 2.005006940452172
0.43625 0.568512144310007 0.6318466305166028 0.4535609380913775 1.9945085722041014
0.43875 0.5610800310845389 0.6457355194054913 0.4452815875076876 1.9840377612752556
0.44125000000000003 0.553725849416211 0.6596244082943806 0.43713211806412827 1.9735945076656323
0.44375 0.5464489848117575 0.6735132971832691 0.42911082739197975 1.9631788113752342
0.44625000000000004 0.539248826016636 0.6874021860721584 0.4212160310200505 1.9527906724040598
0.44875 0.5321247650064737 0.701291074961047 0.41344606223318775 1.9424300907521095
0.45125000000000004 0.5250761969785063 0.7151799638499362 0.4057992719315271 1.9320970664193828
0.45375 0.5181025203430241 0.7290688527388248 0.3982740284904952 1.921791599405881
0.45625000000000004 0.5112031367148111 0.742957741627714 0.39086871762154907 1.9115136897116016
0.45875 0.5043774509045911 0.7568466305166026 0.3835817422336653 1.9012633373365477
0.46125000000000005 0.4976248709104659 0.7707355194054918 0.37641152229555963 1.891040542280717
0.46375 0.4909448079093618 0.7846244082943804 0.36935649469865334 1.880845304544111
0.46625000000000005 0.48433667624846866 0.7985132971832697 0.3624151131207686 1.870677624126728
0.46875 0.4777998934366855 0.8124021860721582 0.355585847890563 1.8605375010285696
0.47125000000000006 0.4713338801360597 0.8262910749610474 0.34886718585269083 1.8504249352496345
0.47375 0.4649380601532334 0.840179963849936 0.3422576302337003 1.840339926789924
0.47625000000000006 0.4586118604308817 0.8540688527388252 0.33575570050865133 1.8302824756494378
